Agricultural Engineering Building,1st,NEW as of 4/6/20,42.392217,-72.530993
Band Building,1st,23379,42.389636,-72.530627
Band Building,1st locker room,4238,42.389636,-72.530627
Bartlett Hall,1st floor near earthfoods,6624,42.387970,-72.528796
Berkshire DC,?,38.904780,42.382004,-72.529949
Bowditch Hall,2nd,NEW as of 4/6/20,42.392415,-72.531971
Boyden Gym,M Locker Rm,13394,42.386401,-72.530508
Boyden Gym,Pool,7072,42.386401,-72.530508
Campus Center,lower level,42.391780,42.391764,-72.526956
Campus Center,1st,42.391780,42.391764,-72.526956
Champions Center,1st,4290,42.388303,-72.532676
Champions Center,1st,931,42.388303,-72.532676
Chenoweth Lab,2nd,"13,453",42.392063,-72.530182
Chenoweth Lab,4th,"10,630",42.392063,-72.530182
Communications Disorders Building,1st,"4,113",42.382771,-72.520817
Computer Science Building,1st,"20,640",42.395144,-72.531185
Computer Science Building,2nd,"18,412",42.395144,-72.531185
Computer Science Building,3rd,"11,312",42.395144,-72.531185
Conte Polymer Research Center,1st,"4,601",42.394338,-72.527957
Conte Polymer Research Center,3rd,314,42.394338,-72.527957
Conte Polymer Research Center,4th,132,42.394338,-72.527957
Conte Polymer Research Center,6th,"7,437",42.394338,-72.527957
Crotty Hall,2nd,"5,716",42.384588,-72.522106
Curry Hicks Gym,1st,NEW as of 5/11/20,42.387193,-72.528242
Curry Hicks Gym,1st,counter broken,42.387193,-72.528242
Design Building,1st,14454,42.388250,-72.523571
Design Building,2nd,14013,42.388250,-72.523571
Design Building,2nd,21465,42.388250,-72.523571
Design Building,3rd,11120,42.388250,-72.523571
Design Building,3rd,15503,42.388250,-72.523571
Design Building,4th,20476,42.388250,-72.523571
Draper Hall,1st,"5,234",42.392331,-72.528427
Draper Hall,3rd,"2,610",42.392331,-72.528427
W.E.B. Du Bois Library,Lower  Level,counter broken,42.389787,-72.528234
W.E.B. Du Bois Library,6th,32628,42.389787,-72.528234
W.E.B. Du Bois Library,7th,counter broken,42.389787,-72.528234
W.E.B. Du Bois Library,12th,6955,42.389787,-72.528234
W.E.B. Du Bois Library,13th,5075,42.389787,-72.528234
Engineering Lab,3rd,65319,42.394735,-72.530494
Fernald Hall,2nd,6502,42.388542,-72.522407
Fine Arts Center,Music wing,34278,42.388336,-72.525444
Fine Arts Center,Outside of Room 150,COMING SOON as of 2/13/20,42.388336,-72.525444
Franklin DC,?,,42.389253,-72.522519
Furcolo Hall,Basement,"17,329",42.398325,-72.526455
Furcolo Hall,1st,"37,850",42.398325,-72.526455
Furcolo Hall,2nd,"8,969",42.398325,-72.526455
